Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Namibia,2540916,2021-04-18,46655,1.836148853
South Africa,59308690,2021-01-02,1088889,1.835968726
Iran,83992953,2021-02-17,1542076,1.835958786
Romania,19237682,2020-11-14,353185,1.835902059
San Marino,33938,2020-05-08,623,1.835700395
Paraguay,7132530,2021-01-28,130917,1.835491754
South America,430759772,2020-09-27,7904371,1.83498356
United Arab Emirates,9890400,2020-12-10,181405,1.834152309
Libya,6871287,2021-02-10,126028,1.834125106
World,7794798729,2021-04-20,142952845,1.833951715
Iceland,341250,2021-04-09,6258,1.833846154
Iceland,341250,2021-04-10,6258,1.833846154
Iceland,341250,2021-04-11,6258,1.833846154
Georgia,3989175,2020-11-13,73154,1.833812756
United States,331002647,2020-09-01,6068759,1.833447271
Greece,10423056,2021-02-28,191100,1.833435415
Iceland,341250,2021-04-08,6256,1.833260073
Kazakhstan,18776707,2021-04-19,344140,1.832802738
San Marino,33938,2020-05-07,622,1.832753845
Seychelles,98340,2021-02-12,1802,1.832418141
Iceland,341250,2021-04-07,6251,1.831794872
Italy,60461828,2020-11-13,1107303,1.831408405
Germany,83783945,2020-12-21,1534218,1.831159896
Honduras,9904608,2021-03-19,181357,1.831036625
Norway,5421242,2021-04-05,99249,1.830742845
Namibia,2540916,2021-04-17,46515,1.830639029
Austria,9006400,2020-11-10,164866,1.830542725
Oman,5106622,2020-09-20,93475,1.830466402
Chile,19116209,2020-07-28,349800,1.829860722
Kuwait,4270563,2020-08-19,78145,1.829852411
Tunisia,11818618,2021-02-06,216176,1.82911403
Ecuador,17643060,2021-03-27,322699,1.829042128
Iraq,40222503,2021-03-09,735626,1.828891653
Iceland,341250,2021-04-06,6241,1.828864469
Maldives,540542,2020-09-23,9885,1.828720062
Costa Rica,5094114,2020-10-15,93152,1.828620247
Bolivia,11673029,2021-01-29,213392,1.828077357
Colombia,50882884,2020-10-14,930159,1.828039071
France,68147687,2020-10-27,1245658,1.827880086
Saint Lucia,183629,2021-02-26,3356,1.827598037
Saint Lucia,183629,2021-02-27,3356,1.827598037
Bahamas,393248,2020-11-15,7186,1.827345594
Libya,6871287,2021-02-09,125561,1.827328709
Iran,83992953,2021-02-16,1534034,1.826384173
Dominican Republic,10847904,2021-01-20,198123,1.826371251
Poland,37846605,2020-11-14,691118,1.826103028
Cape Verde,555988,2020-11-20,10152,1.825938689
Ireland,4937796,2020-12-30,90157,1.825855098
Albania,2877800,2020-12-19,52542,1.825769685
South America,430759772,2020-09-26,7864065,1.825626605
Honduras,9904608,2021-03-18,180796,1.825372594
Paraguay,7132530,2021-01-27,130163,1.82492047
Argentina,45195777,2020-10-06,824468,1.824214683
Iceland,341250,2021-04-03,6225,1.824175824
Iceland,341250,2021-04-04,6225,1.824175824
Iceland,341250,2021-04-05,6225,1.824175824
Namibia,2540916,2021-04-16,46330,1.823358191
World,7794798729,2021-04-19,142098420,1.822990239
United Kingdom,67886004,2020-11-10,1237200,1.82246697
Ecuador,17643060,2021-03-26,321451,1.821968525
Monaco,39244,2020-12-18,715,1.821934563
Bahamas,393248,2020-11-13,7163,1.821496867
Bahamas,393248,2020-11-14,7163,1.821496867
United Arab Emirates,9890400,2020-12-09,180150,1.821463237
Greece,10423056,2021-02-27,189831,1.821260483
Peru,32971846,2020-08-25,600438,1.821062733
United States,331002647,2020-08-31,6026895,1.820799638
Russia,145934460,2020-12-14,2656601,1.820406914
Norway,5421242,2021-04-04,98676,1.820173311
Tunisia,11818618,2021-02-05,215112,1.820111285
Honduras,9904608,2021-03-17,180271,1.820072031
Chile,19116209,2020-07-27,347923,1.820041829
Belize,397621,2020-12-03,7236,1.8198234
Malta,441539,2020-11-15,8034,1.819544819
Kazakhstan,18776707,2021-04-18,341599,1.819270014
North America,592072204,2020-10-29,10769141,1.818889812
Slovakia,5459643,2020-11-25,99304,1.818873505
Mexico,128932753,2021-04-30,2344755,1.818587555
Iceland,341250,2021-03-31,6205,1.818315018
Iceland,341250,2021-04-01,6205,1.818315018
Iceland,341250,2021-04-02,6205,1.818315018
Canada,37742157,2021-01-13,686211,1.818155226
Panama,4314768,2020-08-13,78446,1.818081528
Bahrain,1701583,2020-07-08,30931,1.817777916
European Union,444919060,2020-11-08,8087224,1.817684322
Namibia,2540916,2021-04-15,46185,1.817651587
Moldova,4033963,2020-10-28,73321,1.817592278
Libya,6871287,2021-02-08,124882,1.817447008
Iraq,40222503,2021-03-08,731016,1.817430407
Palestine,5101416,2020-12-03,92708,1.817299354
Brazil,212559409,2020-08-30,3862311,1.817050122
Iran,83992953,2021-02-15,1526023,1.816846468
Lebanon,6825442,2020-11-27,123982,1.816468443
Maldives,540542,2020-09-22,9818,1.816325096
Colombia,50882884,2020-10-13,924098,1.816127403
Belarus,9449321,2020-12-19,171579,1.815781261
Mexico,128932753,2021-04-29,2340934,1.815623994
Iceland,341250,2021-03-30,6194,1.815091575
Botswana,2351625,2021-04-09,42674,1.814660075
Botswana,2351625,2021-04-10,42674,1.814660075
Botswana,2351625,2021-04-11,42674,1.814660075
Liechtenstein,38137,2020-11-05,692,1.814510842
Spain,46754783,2020-10-08,848324,1.814411159
Paraguay,7132530,2021-01-26,129394,1.814138882
Ukraine,43733759,2020-12-03,793372,1.814095148
World,7794798729,2021-04-18,141404998,1.814094282
Armenia,2963234,2020-10-07,53755,1.814065308
Kuwait,4270563,2020-08-18,77470,1.814046532
Uruguay,3473727,2021-03-06,63010,1.813901898
Lithuania,2722291,2020-11-24,49368,1.813472549
South America,430759772,2020-09-25,7811306,1.813378711
Cape Verde,555988,2020-11-19,10082,1.81334849
Mexico,128932753,2021-04-28,2336944,1.812529358
Honduras,9904608,2021-03-16,179515,1.81243922
Namibia,2540916,2021-04-14,46051,1.812377898
Dominican Republic,10847904,2021-01-19,196591,1.812248707
Iceland,341250,2021-03-29,6183,1.811868132
Bahamas,393248,2020-11-12,7124,1.811579461
Europe,748680069,2020-11-13,13562232,1.811485648
Bosnia and Herzegovina,3280815,2020-11-06,59427,1.811348705
Czechia,10708982,2020-10-20,193946,1.811059165
South Africa,59308690,2021-01-01,1073887,1.81067395
Tunisia,11818618,2021-02-04,213949,1.810270879
United States,331002647,2020-08-30,5991507,1.810108485
Estonia,1326539,2020-12-24,24009,1.809897787
Norway,5421242,2021-04-03,98102,1.809585331
Mexico,128932753,2021-04-27,2333126,1.809568124
Brazil,212559409,2020-08-29,3846153,1.809448482
Chile,19116209,2020-07-26,345790,1.808883759
Namibia,2540916,2021-04-13,45949,1.808363598
United Arab Emirates,9890400,2020-12-08,178837,1.808187738
Germany,83783945,2020-12-20,1514962,1.808176972
Kosovo,1932774,2020-11-23,34940,1.807764384
Iran,83992953,2021-02-14,1518263,1.807607598
Hungary,9660350,2020-11-22,174618,1.80757426
Maldives,540542,2020-09-21,9770,1.80744512
Azerbaijan,10139175,2020-12-15,183259,1.807435023
Albania,2877800,2020-12-18,52004,1.807074849
Mexico,128932753,2021-04-26,2329534,1.806782176
Honduras,9904608,2021-03-15,178925,1.806482397
Iraq,40222503,2021-03-07,726548,1.806322197
Colombia,50882884,2020-10-12,919084,1.806273402
Ecuador,17643060,2021-03-25,318656,1.806126602
Iceland,341250,2021-03-26,6163,1.806007326
Iceland,341250,2021-03-27,6163,1.806007326
Iceland,341250,2021-03-28,6163,1.806007326
Mexico,128932753,2021-04-25,2328391,1.805895667
Greece,10423056,2021-02-26,188201,1.805622075
World,7794798729,2021-04-17,140719503,1.80530002
Bolivia,11673029,2021-01-28,210726,1.805238383
Libya,6871287,2021-02-07,124026,1.804989371
Israel,8655541,2020-09-13,156220,1.80485541
Mexico,128932753,2021-04-24,2326738,1.804613603
Iceland,341250,2021-03-25,6158,1.804542125
Kazakhstan,18776707,2021-04-17,338764,1.80417152
Cyprus,875899,2020-12-15,15789,1.802605095
Peru,32971846,2020-08-24,594326,1.802525706
Mexico,128932753,2021-04-23,2323430,1.802047925
Namibia,2540916,2021-04-12,45787,1.801987945
Russia,145934460,2020-12-13,2629699,1.801972612
Costa Rica,5094114,2020-10-14,91780,1.801687202
North America,592072204,2020-10-28,10665120,1.80132084
Germany,83783945,2020-12-19,1508518,1.800485761
Iceland,341250,2021-03-24,6144,1.80043956
Honduras,9904608,2021-03-14,178277,1.799939988
North Macedonia,2083380,2020-11-06,37499,1.799911682
Paraguay,7132530,2021-01-25,128366,1.799726044
United States,331002647,2020-08-29,5957126,1.799721559
Tunisia,11818618,2021-02-03,212679,1.799525122
Canada,37742157,2021-01-12,679072,1.799240038
Mexico,128932753,2021-04-22,2319519,1.799014561
Kuwait,4270563,2020-08-17,76827,1.798989969
Maldives,540542,2020-09-20,9724,1.798935143
Portugal,10196707,2020-11-09,183420,1.79881603
Iran,83992953,2021-02-13,1510873,1.798809241
Cape Verde,555988,2020-11-18,10000,1.79859997
Bulgaria,6948445,2020-11-23,124966,1.798474335
Slovenia,2078932,2020-11-03,37382,1.798134812
Iraq,40222503,2021-03-06,723189,1.797971151
Seychelles,98340,2021-02-11,1768,1.797844214
Jordan,10203140,2020-11-22,183429,1.797770098
Chile,19116209,2020-07-25,343592,1.797385664
Denmark,5792203,2020-12-11,104103,1.797295433
Dominican Republic,10847904,2021-01-18,194966,1.797268855
South America,430759772,2020-09-24,7741021,1.797062192
Norway,5421242,2021-04-02,97410,1.796820729
Oman,5106622,2020-09-17,91753,1.796745481
Oman,5106622,2020-09-18,91753,1.796745481
Oman,5106622,2020-09-19,91753,1.796745481
Netherlands,17134873,2020-10-26,307831,1.796517546
Moldova,4033963,2020-10-27,72460,1.796248503
Mexico,128932753,2021-04-21,2315811,1.796138643
Luxembourg,625976,2020-10-20,11241,1.795755748
Ecuador,17643060,2021-03-24,316807,1.79564656
United Arab Emirates,9890400,2020-12-07,177577,1.795448111
Honduras,9904608,2021-03-13,177832,1.795447129
Belarus,9449321,2020-12-18,169648,1.79534593
Bahamas,393248,2020-11-11,7060,1.795304744
World,7794798729,2021-04-16,139931461,1.795190176
Iceland,341250,2021-03-23,6122,1.793992674
Panama,4314768,2020-08-12,77377,1.793306152
Iceland,341250,2021-03-22,6119,1.793113553
Malta,441539,2020-11-14,7917,1.793046594
Mexico,128932753,2021-04-20,2311172,1.792540643
United Kingdom,67886004,2020-11-09,1216749,1.792341467
Namibia,2540916,2021-04-11,45527,1.791755414
Argentina,45195777,2020-10-05,809728,1.791601016
San Marino,33938,2020-05-06,608,1.791502151
Cape Verde,555988,2020-11-17,9960,1.79140557
Armenia,2963234,2020-10-06,53083,1.791387383
Ireland,4937796,2020-12-29,88439,1.791062247
Colombia,50882884,2020-10-11,911316,1.791006972
Lebanon,6825442,2020-11-26,122200,1.790360243
Iran,83992953,2021-02-12,1503753,1.790332339
Brazil,212559409,2020-08-28,3804803,1.789995097
Paraguay,7132530,2021-01-24,127652,1.789715571
Mexico,128932753,2021-04-19,2306910,1.789235044
Greece,10423056,2021-02-25,186469,1.789005067
Tunisia,11818618,2021-02-02,211412,1.788804749
Kazakhstan,18776707,2021-04-16,335868,1.788748155
Honduras,9904608,2021-03-12,177168,1.788743179
Libya,6871287,2021-02-05,122894,1.788515019
Libya,6871287,2021-02-06,122894,1.788515019
Mexico,128932753,2021-04-18,2305602,1.788220562
Iraq,40222503,2021-03-05,719121,1.787857409
Spain,46754783,2020-10-07,835901,1.787840615
Mexico,128932753,2021-04-17,2304096,1.787052511
Albania,2877800,2020-12-17,51424,1.786920564
United States,331002647,2020-08-28,5914395,1.786811995
Romania,19237682,2020-11-13,343725,1.786727736
Iceland,341250,2021-03-19,6097,1.786666667
Iceland,341250,2021-03-20,6097,1.786666667
Iceland,341250,2021-03-21,6097,1.786666667
Oman,5106622,2020-09-16,91196,1.785838075
North America,592072204,2020-10-27,10573091,1.785777297
Slovakia,5459643,2020-11-24,97493,1.785702838
Chile,19116209,2020-07-24,341304,1.785416763
Maldives,540542,2020-09-19,9649,1.78506018
Norway,5421242,2021-04-01,96770,1.785015316
Iceland,341250,2021-03-18,6091,1.784908425
Kuwait,4270563,2020-08-16,76205,1.784425145
Iceland,341250,2021-03-17,6089,1.784322344
World,7794798729,2021-04-15,139076606,1.784223183
United Arab Emirates,9890400,2020-12-06,176429,1.783840896
Mexico,128932753,2021-04-16,2299939,1.78382835
Iceland,341250,2021-03-16,6087,1.783736264
Namibia,2540916,2021-04-10,45323,1.783726813
Monaco,39244,2020-12-17,700,1.78371216
Bahamas,393248,2020-11-10,7012,1.783098706
Russia,145934460,2020-12-12,2602048,1.783025065
Canada,37742157,2021-01-11,672931,1.782969108
Uruguay,3473727,2021-03-05,61929,1.782782585
Iceland,341250,2021-03-15,6083,1.782564103
Bolivia,11673029,2021-01-27,208074,1.782519344
South Africa,59308690,2020-12-31,1057161,1.782472349
Switzerland,8654618,2020-10-30,154251,1.782297035
Switzerland,8654618,2020-10-31,154251,1.782297035
Switzerland,8654618,2020-11-01,154251,1.782297035
Bahrain,1701583,2020-07-07,30321,1.781928945
Paraguay,7132530,2021-01-23,127081,1.781709996
Iran,83992953,2021-02-11,1496455,1.781643515
European Union,444919060,2020-11-07,7925412,1.78131546
Honduras,9904608,2021-03-11,176427,1.781261813
Mexico,128932753,2021-04-15,2295435,1.780335056
Dominican Republic,10847904,2021-01-17,193118,1.780233306
Ukraine,43733759,2020-12-02,778560,1.780226575
Moldova,4033963,2020-10-26,71811,1.780160106
Serbia,6804596,2020-11-22,121120,1.779973418
Iceland,341250,2021-03-12,6072,1.779340659
Iceland,341250,2021-03-13,6072,1.779340659
Iceland,341250,2021-03-14,6072,1.779340659
Iceland,341250,2021-03-11,6070,1.778754579
Namibia,2540916,2021-04-09,45193,1.778610548
Iceland,341250,2021-03-10,6069,1.778461538
Iceland,341250,2021-03-09,6067,1.777875458
Armenia,2963234,2020-10-05,52677,1.777686136
Ecuador,17643060,2021-03-23,313570,1.777299403
France,68147687,2020-10-26,1211176,1.777281157
Tunisia,11818618,2021-02-01,210045,1.777238252
Mexico,128932753,2021-04-14,2291246,1.777086075
Iceland,341250,2021-03-08,6064,1.776996337
Libya,6871287,2021-02-04,122013,1.775693549
Iceland,341250,2021-03-05,6059,1.775531136
Iceland,341250,2021-03-06,6059,1.775531136
Iceland,341250,2021-03-07,6059,1.775531136
Oman,5106622,2020-09-15,90660,1.775341899
Iceland,341250,2021-03-03,6058,1.775238095
Iceland,341250,2021-03-04,6058,1.775238095
Latvia,1886202,2020-12-23,33484,1.775207533
Iraq,40222503,2021-03-04,713994,1.775110813
Belarus,9449321,2020-12-17,167731,1.775058758
Peru,32971846,2020-08-23,585236,1.774956731
Germany,83783945,2020-12-18,1486839,1.774610876
Kosovo,1932774,2020-11-22,34295,1.77439266
Iceland,341250,2021-03-02,6055,1.774358974
South America,430759772,2020-09-23,7643032,1.774314246
Croatia,4105268,2020-11-11,72840,1.7743056
Colombia,50882884,2020-10-10,902747,1.774166339
Iceland,341250,2021-03-01,6054,1.774065934
World,7794798729,2021-04-14,138259845,1.773744901
Kazakhstan,18776707,2021-04-15,333046,1.773718895
Botswana,2351625,2021-04-05,41710,1.773667145
Botswana,2351625,2021-04-06,41710,1.773667145
Botswana,2351625,2021-04-07,41710,1.773667145
Botswana,2351625,2021-04-08,41710,1.773667145
Mexico,128932753,2021-04-13,2286352,1.773290298
Europe,748680069,2020-11-12,13275959,1.773248621
Ecuador,17643060,2021-03-22,312851,1.773224146
Namibia,2540916,2021-04-08,45054,1.77314008
Iran,83992953,2021-02-10,1488981,1.772745149
United States,331002647,2020-08-27,5867547,1.772658634
Iceland,341250,2021-02-22,6049,1.772600733
Iceland,341250,2021-02-23,6049,1.772600733
Iceland,341250,2021-02-24,6049,1.772600733
Iceland,341250,2021-02-25,6049,1.772600733
Iceland,341250,2021-02-26,6049,1.772600733
Iceland,341250,2021-02-27,6049,1.772600733
Iceland,341250,2021-02-28,6049,1.772600733
Namibia,2540916,2021-04-07,45039,1.772549742
Kuwait,4270563,2020-08-15,75697,1.772529758
Moldova,4033963,2020-10-25,71503,1.772524934
Norway,5421242,2021-03-31,96079,1.772269159
United Arab Emirates,9890400,2020-12-05,175276,1.772183127
Panama,4314768,2020-08-11,76464,1.772146266
Chile,19116209,2020-07-23,338759,1.772103454
Greece,10423056,2021-02-24,184686,1.77189876
Ecuador,17643060,2021-03-21,312598,1.771790154
Paraguay,7132530,2021-01-22,126370,1.771741584
Armenia,2963234,2020-10-04,52496,1.771577945
Iceland,341250,2021-02-19,6045,1.771428571
Iceland,341250,2021-02-20,6045,1.771428571
Iceland,341250,2021-02-21,6045,1.771428571
Costa Rica,5094114,2020-10-13,90238,1.771416973
Namibia,2540916,2021-04-06,45008,1.771329709
Honduras,9904608,2021-03-10,175442,1.771316947
Iceland,341250,2021-02-17,6044,1.771135531
Iceland,341250,2021-02-18,6044,1.771135531
Bahamas,393248,2020-11-09,6964,1.770892668
North America,592072204,2020-10-26,10483995,1.770729132
Lithuania,2722291,2020-11-23,48197,1.77045731
Maldives,540542,2020-09-18,9568,1.770075221
Cape Verde,555988,2020-11-16,9840,1.76982237
Mexico,128932753,2021-04-12,2281840,1.769790799
Iceland,341250,2021-02-15,6039,1.76967033
Iceland,341250,2021-02-16,6039,1.76967033
Brazil,212559409,2020-08-27,3761391,1.769571631
Mexico,128932753,2021-04-11,2280213,1.768528901
Israel,8655541,2020-09-12,153045,1.768173705
Palestine,5101416,2020-12-02,90192,1.767979714
Iceland,341250,2021-02-12,6033,1.767912088
Iceland,341250,2021-02-13,6033,1.767912088
Iceland,341250,2021-02-14,6033,1.767912088
Tunisia,11818618,2021-01-31,208885,1.76742323
Qatar,2881060,2020-05-28,50914,1.767196796
Mexico,128932753,2021-04-10,2278420,1.767138254
Slovakia,5459643,2020-11-23,96472,1.767001982
Oman,5106622,2020-09-14,90222,1.766764801
Argentina,45195777,2020-10-04,798486,1.766727011
South America,430759772,2020-09-22,7610000,1.766645935
Cape Verde,555988,2020-11-15,9822,1.76658489
Bahamas,393248,2020-11-07,6947,1.766569696
Bahamas,393248,2020-11-08,6947,1.766569696
Namibia,2540916,2021-04-05,44886,1.766528291
Suriname,586634,2021-04-30,10363,1.766518818
Iceland,341250,2021-02-10,6026,1.765860806
Iceland,341250,2021-02-11,6026,1.765860806
Malta,441539,2020-11-13,7796,1.765642446
Iceland,341250,2021-02-09,6025,1.765567766
Spain,46754783,2020-10-06,825410,1.765402269
Azerbaijan,10139175,2020-12-14,178986,1.765291555
Libya,6871287,2021-02-03,121243,1.764487497
Iceland,341250,2021-02-05,6021,1.764395604
Iceland,341250,2021-02-06,6021,1.764395604
Iceland,341250,2021-02-07,6021,1.764395604
Iceland,341250,2021-02-08,6020,1.764102564
Russia,145934460,2020-12-11,2574319,1.764024069
Cyprus,875899,2020-12-14,15450,1.763902002
Dominican Republic,10847904,2021-01-16,191339,1.763833824
Italy,60461828,2020-11-12,1066401,1.763759111
Iran,83992953,2021-02-09,1481396,1.76371463
World,7794798729,2021-04-13,137442820,1.763263232
Lebanon,6825442,2020-11-25,120341,1.763123912
Iceland,341250,2021-02-04,6016,1.762930403
Hungary,9660350,2020-11-21,170298,1.762855383
Slovakia,5459643,2020-11-22,96241,1.762770936
Namibia,2540916,2021-04-04,44790,1.762750126
Austria,9006400,2020-11-09,158746,1.762591046
Iraq,40222503,2021-03-03,708951,1.762573055
Moldova,4033963,2020-10-24,71089,1.762262073
Mexico,128932753,2021-04-09,2272064,1.762208552
Iceland,341250,2021-02-03,6013,1.762051282
Ecuador,17643060,2021-03-20,310868,1.761984599
Honduras,9904608,2021-03-09,174508,1.761886992
Iceland,341250,2021-02-02,6011,1.761465201
Canada,37742157,2021-01-10,664606,1.760911545
Iceland,341250,2021-02-01,6009,1.760879121
United Kingdom,67886004,2020-11-08,1195352,1.760822452
Kuwait,4270563,2020-08-14,75185,1.760540706
United Arab Emirates,9890400,2020-12-04,174062,1.759908598
Paraguay,7132530,2021-01-21,125518,1.759796314
Chile,19116209,2020-07-22,336402,1.759773604
Ireland,4937796,2020-12-28,86894,1.759772984
Albania,2877800,2020-12-16,50637,1.759573285
Honduras,9904608,2021-03-08,174243,1.75921147
Kazakhstan,18776707,2021-04-14,330319,1.759195582
Cape Verde,555988,2020-11-14,9780,1.75903077
United States,331002647,2020-08-26,5822167,1.758948774
Luxembourg,625976,2020-10-19,11010,1.758853375
Iceland,341250,2021-01-29,6002,1.758827839
Iceland,341250,2021-01-30,6002,1.758827839
Iceland,341250,2021-01-31,6002,1.758827839
Portugal,10196707,2020-11-08,179324,1.758646198
Namibia,2540916,2021-04-03,44683,1.758539047
Poland,37846605,2020-11-13,665547,1.758538183
Iceland,341250,2021-01-28,6001,1.758534799
Mexico,128932753,2021-04-08,2267019,1.75829566
Iceland,341250,2021-01-27,6000,1.758241758
Bolivia,11673029,2021-01-26,205208,1.75796702
Colombia,50882884,2020-10-09,894300,1.757565471
Oman,5106622,2020-09-13,89746,1.75744357
North America,592072204,2020-10-25,10404942,1.757377213
Estonia,1326539,2020-12-23,23309,1.75712889
Maldives,540542,2020-09-17,9494,1.756385258
Norway,5421242,2021-03-30,95208,1.75620273
Sweden,10099270,2020-11-13,177355,1.756117026
Sweden,10099270,2020-11-14,177355,1.756117026
Sweden,10099270,2020-11-15,177355,1.756117026
Sweden,10099270,2020-11-16,177355,1.756117026
Iceland,341250,2021-01-26,5992,1.755897436
Belarus,9449321,2020-12-16,165897,1.755649956
Tunisia,11818618,2021-01-30,207468,1.755433673
Iceland,341250,2021-01-25,5990,1.755311355
Ecuador,17643060,2021-03-19,309643,1.755041359
Iran,83992953,2021-02-08,1473756,1.754618629
Namibia,2540916,2021-04-02,44581,1.754524746
Uruguay,3473727,2021-03-04,60945,1.754455661
Mexico,128932753,2021-04-07,2261879,1.754309085
Honduras,9904608,2021-03-07,173729,1.754021966
Greece,10423056,2021-02-23,182783,1.753641159
South America,430759772,2020-09-21,7553454,1.753518896
Suriname,586634,2021-04-29,10286,1.753393087
World,7794798729,2021-04-12,136663253,1.753262114
Bulgaria,6948445,2020-11-22,121820,1.753198018
Bosnia and Herzegovina,3280815,2020-11-05,57506,1.75279618
Libya,6871287,2021-02-02,120434,1.752713866
Iceland,341250,2021-01-21,5981,1.752673993
Iceland,341250,2021-01-22,5981,1.752673993
Iceland,341250,2021-01-23,5981,1.752673993
Iceland,341250,2021-01-24,5981,1.752673993
Bahrain,1701583,2020-07-06,29821,1.752544542
Armenia,2963234,2020-10-03,51925,1.752308458
South Africa,59308690,2020-12-30,1039161,1.752122665
Cape Verde,555988,2020-11-13,9741,1.752016231
Costa Rica,5094114,2020-10-12,89223,1.751492016
Iceland,341250,2021-01-20,5975,1.750915751
Chile,19116209,2020-07-21,334683,1.750781235
Mexico,128932753,2021-04-06,2256509,1.750144124
Bahamas,393248,2020-11-05,6882,1.750040687
Bahamas,393248,2020-11-06,6882,1.750040687
Argentina,45195777,2020-10-03,790818,1.749760824
Iraq,40222503,2021-03-02,703778,1.749712095
Ukraine,43733759,2020-12-01,765117,1.749488307
Iceland,341250,2021-01-18,5970,1.749450549
Iceland,341250,2021-01-19,5970,1.749450549
Montenegro,628062,2020-10-01,10987,1.749349587
Brazil,212559409,2020-08-26,3717156,1.748760978
Panama,4314768,2020-08-10,75394,1.747347714
Peru,32971846,2020-08-22,576067,1.747148158
Honduras,9904608,2021-03-06,173020,1.746863682
Georgia,3989175,2020-11-12,69681,1.746752148
United Arab Emirates,9890400,2020-12-03,172751,1.74665332
Mexico,128932753,2021-04-05,2251705,1.74641815
Namibia,2540916,2021-04-01,44374,1.746378078
Jordan,10203140,2020-11-21,178161,1.746138934
Iran,83992953,2021-02-07,1466435,1.745902421
North Macedonia,2083380,2020-11-05,36372,1.745816894
Monaco,39244,2020-12-16,685,1.745489756
Mexico,128932753,2021-04-04,2250458,1.745450979
World,7794798729,2021-04-11,136046628,1.74535139
Iceland,341250,2021-01-15,5956,1.745347985
Iceland,341250,2021-01-16,5956,1.745347985
Iceland,341250,2021-01-17,5956,1.745347985
United States,331002647,2020-08-25,5777001,1.745303566
North America,592072204,2020-10-24,10333330,1.745282067
South America,430759772,2020-09-20,7516389,1.744914332
Paraguay,7132530,2021-01-20,124447,1.744780604
Slovakia,5459643,2020-11-21,95257,1.744747779
Russia,145934460,2020-12-10,2546113,1.744696215
Kazakhstan,18776707,2021-04-13,327593,1.744677594
Mexico,128932753,2021-04-03,2249195,1.744471399
Ireland,4937796,2020-12-27,86129,1.744280242
Belgium,11589616,2020-10-16,202151,1.744242432
Denmark,5792203,2020-12-10,101027,1.74418956
Kuwait,4270563,2020-08-13,74486,1.744172841
Maldives,540542,2020-09-16,9427,1.743990291
Cape Verde,555988,2020-11-12,9694,1.743562811
Tunisia,11818618,2021-01-29,206030,1.743266429
Mexico,128932753,2021-04-02,2247357,1.74304585
Iceland,341250,2021-01-14,5948,1.743003663
Ecuador,17643060,2021-03-18,307429,1.742492515
Honduras,9904608,2021-03-04,172577,1.742391016
Honduras,9904608,2021-03-05,172577,1.742391016
Chile,19116209,2020-07-20,333029,1.742128892
Dominican Republic,10847904,2021-01-15,188969,1.741986286
Suriname,586634,2021-04-28,10218,1.741801532
Canada,37742157,2021-01-09,657323,1.741614821
Moldova,4033963,2020-10-23,70256,1.741612404
Colombia,50882884,2020-10-08,886179,1.741605291
Slovenia,2078932,2020-11-02,36206,1.741567305
Mexico,128932753,2021-04-01,2244268,1.740650027
Bahamas,393248,2020-11-04,6843,1.740123281
Spain,46754783,2020-10-05,813412,1.739740723
Andorra,77265,2020-09-11,1344,1.739468064
Andorra,77265,2020-09-12,1344,1.739468064
Andorra,77265,2020-09-13,1344,1.739468064
Luxembourg,625976,2020-10-18,10888,1.739363809
Iceland,341250,2021-01-13,5935,1.739194139
Lebanon,6825442,2020-11-24,118705,1.739154768
Botswana,2351625,2021-04-01,40878,1.738287354
Botswana,2351625,2021-04-02,40878,1.738287354
Botswana,2351625,2021-04-03,40878,1.738287354
Botswana,2351625,2021-04-04,40878,1.738287354
Iraq,40222503,2021-03-01,699088,1.738051956
Kosovo,1932774,2020-11-21,33588,1.737813112
Libya,6871287,2021-02-01,119402,1.737694845
Honduras,9904608,2021-03-03,172100,1.737575076
Bolivia,11673029,2021-01-25,202818,1.737492471
Iran,83992953,2021-02-06,1459370,1.737491001
Albania,2877800,2020-12-15,50000,1.737438321
Romania,19237682,2020-11-12,334236,1.737402666
Namibia,2540916,2021-03-31,44139,1.737129445
Bulgaria,6948445,2020-11-21,120697,1.737036128
Israel,8655541,2020-09-11,150326,1.736760302
World,7794798729,2021-04-10,135355887,1.736489827
Norway,5421242,2021-03-29,94139,1.736484001
Mexico,128932753,2021-03-31,2238887,1.736476534
Belarus,9449321,2020-12-15,164059,1.736198823
Netherlands,17134873,2020-10-25,297466,1.736026873
San Marino,33938,2020-05-05,589,1.735517709
Germany,83783945,2020-12-17,1454009,1.735426757
South America,430759772,2020-09-19,7474493,1.735188262
Azerbaijan,10139175,2020-12-13,175874,1.734598722
Honduras,9904608,2021-03-02,171758,1.734122138
Armenia,2963234,2020-10-02,51382,1.733983884
Europe,748680069,2020-11-11,12981312,1.733893092
Namibia,2540916,2021-03-30,44051,1.733666127
Greece,10423056,2021-02-22,180672,1.733387981
United Arab Emirates,9890400,2020-12-02,171434,1.733337378
United States,331002647,2020-08-24,5736641,1.73311031
Iceland,341250,2021-01-12,5912,1.732454212
Ecuador,17643060,2021-03-17,305598,1.732114497
Kazakhstan,18776707,2021-04-12,325234,1.732114156
Mexico,128932753,2021-03-30,2232910,1.731840784
Malta,441539,2020-11-12,7646,1.731670362
Suriname,586634,2021-04-27,10157,1.731403226
Chile,19116209,2020-07-19,330930,1.731148681
United Kingdom,67886004,2020-11-07,1174772,1.730506925
Oman,5106622,2020-09-10,88337,1.729851945
